,importance
Open,0.67828625
StateHoliday,0.06097625
Sales_lag14,0.051284928
Promo,0.044861056
IsWeekend,0.027032822
Sales_roll30,0.02207894
Sales_lag28,0.013979929
Promo_in_1,0.011948764
Promo_in_7,0.010739101
DayOfWeek,0.009876772
Sales_lag1,0.00819421
Sales_roll7,0.0066136224
Sales_roll90,0.0050073215
IsMonthEnd,0.0047245976
Sales_lag7,0.0044363793
WeekOfYear,0.0040874276
Sales_roll7_std,0.00387145
Day,0.0024491863
Promo_in_14,0.002362617
Month,0.002243499
Sales_roll30_std,0.001994436
Trend_poly_4,0.0017113596
DayIndex,0.0014896285
Week_cos,0.0013940971
Month_cos,0.0013433222
Quarter,0.001294205
Date,0.0011349592
IsMonthStart,0.0011223953
StoreType,0.001022508
Year,0.00093773956
Month_sin,0.00089396467
Week_sin,0.0008612835
IsPromoMonth,0.00080673146
Trend_poly_2,0.00077612785
Sales_roll90_std,0.0006302318
SchoolHoliday,0.0005993228
Sales_lag56,0.0005537771
StoreType_median_sales,0.00055069866
Trend_poly_1,0.0005366908
Sales_lag365,0.00052546576
Roll7_by_Roll30,0.0004986667
Assortment_mean_sales,0.00044220866
PromoInterval,0.0004087994
Assortment,0.00040780217
Promo2,0.00035917893
Promo2OpenMonths,0.00028207828
Roll30_by_Roll90,0.0002683853
Trend_poly_3,0.00024809656
CompetitionDistance,0.0002356765
YoY_pct,0.0002206722
Promo2SinceYear,0.00021792264
Store,0.00021097361
Promo2SinceWeek,0.00020560481
CompetitionOpenSinceYear,0.0001855475
CompetitionOpenMonths,0.00014701523
CompetitionOpenSinceMonth,0.00014640923
DaysToNextHoliday,0.00014411534
DaysSincePrevHoliday,0.00013686164
_source,0.0
